Unnamed: 0,index,user_name,date,text,label,topic,cls_result,vote
48074,"""아이스""",Ezy_000711,2018-08-01 04:39:44,요즘 더벤티 아이스초코는 코코볼도 넣어주네 pic.twitter.com/SooX6wgPUV,0,-1,0,0
3414,"""물뽕""",ghdenvy0525,2018-07-26 04:19:57,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

◎(@:●○ pic.twitter.com/o5ST6Q2Uvz",1,3,1,1
3927,"""물뽕""",kimjilte12,2018-07-29 08:04:20,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

＃@←◆■- pic.twitter.com/qS5vjRhLcb",1,3,1,1
102350,"""아이스""",T_RUE_bird,2019-05-26 07:47:35,아...아이... 아이스늉냥 사랑한다.,0,-1,0,0
48654,"""아이스""",love__zen,2018-07-31 03:17:34,아침에아이스아메리카노큰거하나다마셨는데 개피곤하다..,0,-1,0,0
76000,"""도리도리""",minseoceodoli,2019-05-31 14:43:37,계속 흠칫하긴하는데..방금 마루기획 이우진 불릴때도 그렇고 막 방금 민서 도리도리 불쌍해요ㅜㅜ,0,-1,0,0
1983,"""물뽕""",djdell79,2018-08-02 15:43:25,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
→＆)$^| pic.twitter.com/4Sm9LyZzdL",1,2,1,1
35548,"""아이스""",Nesky_co,2018-08-14 11:00:51,"아이스마카롱다먹었으니 모찌를 뜯습니다
이러고집가서 저녁밥먹을거임 pic.twitter.com/QfELHRp0v0",0,-1,0,0
46120,"""아이스""",bittersweet9_jh,2018-07-19 14:52:54,"\\비터스윗나인// 목요일엔 금요일 토요일에 판매할 초코빙수와 아이스초코를 만들어요. 그리고 제가 젤 좋아하는 타입으로 초코빙수를 먹기도 합니다. 초코그라니따에 초코소스와 위스키를 부어서 ㅎㅎ 언제가 이것도 메뉴로 낼 수 있는 날이 오겠죠!
#비터스윗나인 #bittersweet9pic.twitter.com/PTjbIFsz3s",0,1,0,0
3462,"""물뽕""",bng8447,2018-07-25 19:36:55,"비아그라판매
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
◎&●`&* pic.twitter.com/ZFD4x1PzBO",1,4,1,1
35483,"""아이스""",09210326xoxo,2018-08-14 13:18:23,아이스초코 쭙쭙 pic.twitter.com/BdaKDFXusk,0,5,0,0
90214,"""아이스""",myway_deokjil,2019-04-22 03:21:53,이젠 더워서 아이스로만 커피 마셔야 할듯ㅠ,0,-1,0,0
106412,"""아이스""",DEAR_BOO__,2019-05-28 01:40:17,아ㅋㅎㅎㅋㅎㅋㅎㅋ 난 수학여행 장기자랑 연습 중,0,15,0,0
4068,"""물뽕""",gm862770,2018-07-28 08:01:26,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

○→←□▲☆ pic.twitter.com/lzGk395oqN",1,3,1,1
2879,"""물뽕""",belovedcera,2018-07-24 19:38:00,"비아그라판매
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
←●@-`! pic.twitter.com/QOeb82XEkK",1,4,1,1
8625,"""크리스탈""",wln_su,2018-08-07 10:35:00,"어디서 끔찍하다는건지 모르겠네요, 저에겐 크리스탈 젬이 끔찍한데.. 만들어준 은혜도 모르고 다이아님에게 상대도 안 되면서 대드는 끔찍한 집단!",0,-1,0,0
4550,"""크리스탈""",muwen_,2018-07-13 06:28:01,시논 생일 스카우트 기다리면서 크리스탈 모으고 있따,0,48,0,0
1203,"""물뽕""",assasj1004,2018-07-08 23:56:31,"비아그라판매
비아그라구입
카톡:Aldk777
비아그라파는곳
비아그라가격
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Aldk777
레비트라구입
강력드레곤구입방법
정품드레곤구입방법 pic.twitter.com/GK8BKlMlhu",1,40,1,1
44401,"""아이스""",Domi_eating,2018-07-25 22:33:46,카페25 추출하는 아이스 아메리카노 pic.twitter.com/3S2niZyol4,0,5,0,0
1061,"""물뽕""",klove1334,2018-07-16 21:29:09,"비아그라판매
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
}▲■▼*◆ pic.twitter.com/uPtJ0fvYQH",1,4,1,1
1802,"""물뽕""",minjohi2,2018-08-19 21:42:10,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
-""\#\ pic.twitter.com/cygTV853Et",1,0,1,1
71715,"""도리도리""",_D_1025,2019-05-18 12:51:54,.. 나에게는 좋은 방법은 아닌걸. ( 도리도리. ),0,-1,0,0
1260,"""물뽕""",highpaek1,2018-08-18 18:09:53,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
○＆△|=★ pic.twitter.com/isMHPKUChe",1,2,1,1
3359,"""물뽕""",wp0921,2018-07-26 16:05:13,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
○◆%□""▼ pic.twitter.com/fASYubdFhV",1,3,1,1
2701,"""물뽕""",didehrPwjd9999,2018-08-08 15:39:17,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
%◎`""←; pic.twitter.com/zXNrB1wATp",1,0,1,1
1272,"""물뽕""",belovedcera,2018-08-18 12:08:15,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
;)|□~# pic.twitter.com/VWjspK2sXE",1,0,1,1
25801,"""도리도리""",khyoko_,2018-07-29 06:31:25,"끄응..아니에요...
(도리도리)
(시무룩)",0,12,0,0
59217,"""크리스탈""",LynkinJung2804,2019-04-23 14:13:44,"“투명한 크리스탈 잔 속
찰랑이는 예술
예술도 술이지 뭐” @BTS_twt BTS- Dionysus
 #BBMAsTopSocial",0,50,0,0
353,"""#물뽕""",jeon9009,2018-08-28 11:54:15,"#물뽕
#여성흥분ㅈㅔ
#여성흥분ㅈㅔsdsafe후기
#여성흥분ㅈㅔ 구입처
#여성흥분ㅈㅔ 구입방법
#여성흥분ㅈㅔ파는곳
#여성흥분ㅈㅔ판매사이트
#여성흥분ㅈㅔ 정품구입
#흥분ㅈㅔ
#홈피http://kdm98.com ",1,11,1,1
1673,"""물뽕""",ZD18Ca2slFTGW5b,2018-08-21 23:08:46,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
△▲%\★ pic.twitter.com/P2d8cMxJEV",1,2,1,1
14578,"""도리도리""",JSU_honey,2018-07-17 04:18:28,그러게. 그럴지도 모르겠네요. (살포시 웃으면 고개를 도리도리 젓곤 당신을 꼬옥 끌어안아.) 네. 이렇게 귀여운 따님을 낳아주셔서 말이죠.,0,-1,0,0
1760,"""물뽕""",dldpwl5231,2018-08-20 16:42:44,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
●←&※{| pic.twitter.com/xA5sjgqKyQ",1,0,1,1
18816,"""도리도리""",hyunmoolani8361,2018-08-21 22:33:45,도리도리)no,0,8,0,0
51274,"""아이스""",tvxq_sinya,2018-07-13 07:23:24,둘이 대답 너무 온도차쩌는게 매력이라구ㅠㅠㅠㅠㅠㅠ 아이스초코 우리카페 파우더 팍팍넣어서 만드는데 와주라ㅠㅠㅠㅠㅠ,0,55,0,0
71245,"""도리도리""",t_tree1002,2019-05-14 12:05:59,그때 마주보고 껴안았을 때 레아가 아파....라고 해서 단비가 뺄까?라고 물었는데 레아가 고개 도리도리 저었던 거.... ㅋㅋ큐ㅠ ㅠㅠㅠ 레아가 기여우니까 됐어.. 아마 그때 사랑한다고 말했던가 그러면서 단비가 레아 얼굴에 뽀뽀 퍼붓는다는 행동 지문을 썼엇음 이마 볼 입술 턱 눈꺼풀...,0,-1,0,0
3153,"""물뽕""",bninekr,2018-07-22 09:43:19,"비아그라판매
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
`←◆&#▼ pic.twitter.com/G0qMOklbAE",1,4,1,1
38909,"""아이스""",L4PICERA,2018-08-06 17:43:57,"차가운 아메리카노라며. 차가운 아메리카노 하나 주세요. 아이스 아메리카노 말고, 차가운 아메리카노로 꼭이요.",0,-1,0,0
49940,"""아이스""",maboonji,2018-07-28 09:38:22,"성내동 유유자적
홍차커피(?이름 잘 기억안남) 진짜 맛있고 초코아인슈페너도 그럭저럭맛있음 초코아인슈페너는 아이스안됨
화장실 내부에 있어서 좋고 가구가이쁘고 
좌석은 뱔루 없다 pic.twitter.com/jTVyRurfUZ",0,-1,0,0
15748,"""도리도리""",Noaa_YS,2018-08-22 14:54:41,"(조금 격한 도리도리)
아니... 저와 같이 편의점을 가주겠다는 착한 사람이 태레드 이외에 또 있다는것에 조금 놀라서...
정말입니까?",0,-1,0,0
2460,"""물뽕""",wookiwooka,2018-08-05 13:29:47,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
+_]*`! pic.twitter.com/8gp3aqYpPv",1,2,1,1
3495,"""물뽕""",MrMetal9,2018-07-25 15:14:35,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

→(@■- pic.twitter.com/dZ3A0hyHkZ",1,3,1,1
91524,"""아이스""",kimssnami,2019-05-04 00:12:19,"아,저 아이스 카페라떼 하나 주세요(웃음)",0,17,0,0
4034,"""물뽕""",a48588222,2018-07-28 14:18:23,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

□[＆▼*← pic.twitter.com/oJEy4kevLO",1,3,1,1
3861,"""물뽕""",haengboksewoon,2018-07-29 20:37:42,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

◆←◎*◎# pic.twitter.com/T9vk4a25Ym",1,3,1,1
24718,"""도리도리""",Fox_doll4,2018-08-05 15:16:11,*고개 도리도리,0,8,0,0
4040,"""물뽕""",jungyw123,2018-07-28 13:09:01,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
◆_▽◆◎+ pic.twitter.com/suCmPLDk9s",1,2,1,1
46925,"""아이스""",AD2_Bastian,2018-08-03 03:56:31,"(아이스 커피 뇸....) 더워,....",0,-1,0,0
45483,"""아이스""",cos_pole,2018-07-21 01:36:23,살도 쪄서 ㅋㅋㅋㅋㅋ아증맬ㅜㅜㅜㅜㅜㅜ날씨도 폭염주의야 우리쪽ㅋㅋㅋㅋㅋㅋ 아이스옷 나왔음좋겠다,0,24,0,0
9231,"""크리스탈""",J46D59Y27,2018-07-09 05:29:26,"난 그, 크리스탈 젬 그 씬이..",0,7,0,0
25745,"""도리도리""",chu_kimi__,2018-07-29 11:58:47,"어어.. 저는 매니큐어 바르려고 매니큐어 샀어요..
아까 발라봤는ㄷㅔ... 음..,,, (도리도리)",0,42,0,0
64062,"""도리도리""",_S2__oxo,2019-04-17 15:54:47,제가 앞에가면 .. 흠(도리도리) 저 아메 옷 꽉 잡구 따라다닐래요!,0,-1,0,0
14562,"""도리도리""",believer_lak,2018-07-17 07:05:13,"원호 항상 자기 퇴근하면 애랑 놀아주고 있던 두일 없으니까 이상하다 생각할거구 애는 암것두 모른채로 락한테는 아빠라고 하는데 원호는 낯설어하면서 아빠라구 안하고 아빠라고 해봐 하면 도리도리 고개 젓구,,,",0,13,0,0
28583,"""아이스""",minj_0304,2018-08-27 14:02:46,아이스베어 갔다아...,0,43,0,0
42078,"""아이스""",catblue_ARASHI_,2018-07-18 13:08:17,친구랑 아이스 딸기 초코 크레이프!! 먹었당! pic.twitter.com/5Yztdxnt0c,0,-1,0,0
3569,"""물뽕""",highpaek1,2018-07-25 02:53:59,"비아그라판매
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
&←＠←}↑ pic.twitter.com/jkfkRwjrwY",1,4,1,1
1967,"""물뽕""",highpaek1,2018-08-02 19:23:54,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
→^↑(&~ pic.twitter.com/9RvFk8aidw",1,2,1,1
71535,"""도리도리""",Shinich__Kudo,2019-05-13 07:21:51,사실 저도 오늘 맛 없어서 밖에 나가서 먹고 들어왔어요.. 요즘 급식 맛없어-..(고개를 도리도리 저으며),0,-1,0,0
23763,"""도리도리""",Hiranim_33,2018-07-24 12:07:56,"(도리도리)
비니는 너무 많이 까져써... 아이라인이 실종되버림.. (??
풍쨘은 움ㅁ.. 으음ㅁ.. 목구멍 안맞아서 데굴 동동 될수도.. 헤헤",0,-1,0,0
42701,"""아이스""",sbZ1sbZjgXwMRdP,2018-07-17 08:07:51,"@작대기@아이스@*
휴대폰파손으로 아이디들이날라갔습니다
다시  영업시작하게되었으니
광명에서 거래하셨던분들 연락주시구요
신규도 몇분더모시겠습니다 인원수차면 광고내리니 사기당하지마시고 이쪽으로톡주세요 장난치는양아치아니니 쿨하게 오래안전하게 
텔레그램   aoa1000  비방으로톡주세요",1,1,1,0
38879,"""아이스""",jjonguwus,2018-08-06 22:52:12,오 아무것도 안 했는데 왜 시간은 벌써 3시 아이스 아메리카노 마셔도 왜 더 후끈후끈하니,0,6,0,0
22304,"""도리도리""",cyan3867_2,2018-08-15 12:28:13,( 도리도리.. 앤오님 주무셔야 합니댜.. ) 유성이도 재워주세요 8ㅁ8 진쨔... 시혁이 유성이 안 자면 걱정되서 자기도 못 잘 것 같고.. 유성이 일하면 옆이나 뒤에서 조용히 서있을 것 같아요..,0,-1,0,0
3209,"""물뽕""",3zR7A1sFo8wNYhs,2018-07-27 18:40:02,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

$◇\◆_▲ pic.twitter.com/qb9SjsTWEn",1,3,1,1
85041,"""아이스""",siri_superhero,2019-04-27 04:30:46,"남들앞에서 양의 탈을 쓰고있는 그가 왠일로 진지하고 고민에 빠진 웃음기 없는 표정을 하고있을땐 10의 9는 쓸데없는 생각중
(저녁뭐먹지.. 여기 오타났다.. 다리 저리다.. 추운데 아이스라떼 마시고싶다... 같은거..)",0,-1,0,0
3978,"""물뽕""",wjdgus9929,2018-07-28 23:20:51,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
▼@(◇★§ pic.twitter.com/8mnzcUaAAM",1,0,1,1
29300,"""아이스""",Ratia_Kys,2018-08-25 11:22:03,ㅠㅠㅠㅠ캡슐있는것들 피시는군요 저도 말보로 아이스 블라스트랑 루비 좋아하는데 미국에선 캡슐담배를 잘 구할수가 없어서... 슬퍼요 흑,0,14,0,0
2569,"""물뽕""",SeongGiBaek2,2018-08-04 04:21:04,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
↓＆_☆;+ pic.twitter.com/ht1wSRILWx",1,0,1,1
48945,"""아이스""",Jisung_forever,2018-07-30 12:14:48,"윤지성
윤지성 노래
윤지성 예쁜말
윤지성 목소리
윤지성 미소
윤지성 마음씨
윤지성 사랑해
윤지성 좋아해
윤지성 고마워
윤지성 응원해
윤지성 셀카
윤지성 팬싸
윤지성 아이스버킷 챌린지
윤지성 데뷔 1주년
윤지성 리더
윤지성 따뜻해
윤지성 린온미 pic.twitter.com/rJ2XpwoIUk",0,72,0,0
2715,"""물뽕""",cmk921,2018-08-08 12:57:54,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
↓(◆◆←{ pic.twitter.com/nfkWkKvE3g",1,2,1,1
95324,"""아이스""",rightsoundstar,2019-05-16 13:20:19,코코님이 좋아하는건 먼가요? 찰떡아이스? 더위사냥? 아니면 소바별님이 사준아이스크림..?,0,-1,0,0
84261,"""아이스""",kitano_rico,2019-05-02 09:06:44,"""음.. 나는... 아이스초코.""",0,-1,0,0
34111,"""아이스""",Seonggyu_0428,2018-08-30 16:04:12,헐랭나는아이스웨어 #Second_Write 랑스마일이랑유마레랑노만괜첞다면이랑그냥다조앙~~,0,32,0,0
3456,"""물뽕""",neofluxus,2018-07-25 20:21:33,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
←*○!＆` pic.twitter.com/UGW2pZxPEO",1,3,1,1
5883,"""크리스탈""",kimcamcii,2018-07-02 14:16:01,ㅋㅋㄱㄱㅋㄱㅋㄷㅋㅋㅋ 크리스탈 줍줍 해서 쟤네 다 특훈시켜라 우리 낙원이ㅣ!!!,0,-1,0,0
93855,"""아이스""",ty77kiss,2019-05-13 16:58:39,"아이스 아메리카노가 잠 깨는건 잘 모르겠지만, 확실히 오줌싸게 하는데는 효과가 직빵이다.",0,6,0,0
105658,"""아이스""",BbN8qpOtS3YeOPv,2019-05-29 02:17:48,"#에어쿠쉬""텔레:Airkush,아이스사는곳,아이스직구,아이스샘플,아이스당일드랍,아이스정품구입, -... https://tmblr.co/ZbLojW2iVeNYa ",1,-1,1,0
106286,"""아이스""",JGoods_DJ,2019-05-28 06:11:29," 시나모롤 피크닉 복권 시작할께요~
 시나모롤 인형 스피커
 아이스 피크닉 바구니
 랜턴
 시나모롤 키체인
 목걸이 주머니
 보냉 토트백
 도시락 케이스
 발매트
 접이식 쿠션
 라스트원상 : 대형 티슈 케이스

#대전굿즈샵 #은행동제이굿즈 #산리오pic.twitter.com/UsZx4kaNwp",0,1,0,0
28213,"""아이스""",N1ght_Sky__,2018-07-23 12:19:34,나주아이스 함ㅋㅋㅋㅋ,0,64,0,0
88718,"""아이스""",ninanooo2806,2019-05-07 15:29:21,아이스하트...마이레이디...아이스하트...,0,68,0,0
17392,"""도리도리""",Yukino_hana_01,2018-07-14 12:32:11,근데 사실 나 영향력이 없어서 내가 아무리 얘기해도 아무런 효과 없을거야(도리도리,0,-1,0,0
11657,"""크리스탈""",_fxtoday,2018-07-30 16:34:10,"180730 (3)

[루나] 인스타그램 업뎃 + 룬댓글 4개
[루나] 인스타그램 2개 업뎃 + 룬댓글 2개
[루나] jyang_222 인스타 스토리 영상
[루나] qwerwls95 인스타그램 룬댓글 2개
[크리스탈] jessica.syj 인스타 스토리 영상 2개
[크리스탈] jessica.syj 인스타그램 pic.twitter.com/4MwaelkFqh",0,1,1,0
103135,"""아이스""",95699569z,2019-05-25 06:14:33,집에서 커피나 차나 뭐 마실때 인스타갬성으로 마실수있는데 아이스로 라떼같은거 먹을때 괜히 기분 조아짐 pic.twitter.com/CYR3lLFH4r,0,-1,0,0
3381,"""물뽕""",kimisa333,2018-07-26 10:52:47,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
●-\!@ pic.twitter.com/b1uA8c3sv0",1,3,1,1
2725,"""물뽕""",innanzi,2018-08-08 10:56:07,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
＠(◇▼&} pic.twitter.com/AGogfsjqYp",1,0,1,1
14286,"""도리도리""",100_2_Rong,2018-07-04 01:08:15,(도리도리도리도리감자도리),0,8,0,0
32133,"""아이스""",_cocococonoon,2018-08-23 13:55:47,"경스는 아이스 아메리카노를 벌컥벌컥 마시곤 얼음을 소리나게 씹어댄다. 이 하소연이 대체 몇 년째인지... 적응이 될 법도 한데 도저히 적응이 안 되고 매번 새롭게 분노가 차오른다.

- 남 연애사에 더 이상 참견 못 하겠으니까 뱍챤녈 불러.
- 경스야...
- 당장.",0,1,0,0
2491,"""물뽕""",xPVbBwT053ZQqZ5,2018-08-05 02:58:44,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
&'▽※←( pic.twitter.com/52HOuGJ2zP",1,2,1,1
